round,new_node_id,parent_node_id,path
0,200,156,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e2-s1-r1-norm_only-imitation_only-rr0p00/generated/round_0000/node_0156.png
0,201,139,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e2-s1-r1-norm_only-imitation_only-rr0p00/generated/round_0000/node_0139.png
4,202,31,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e2-s1-r1-norm_only-imitation_only-rr0p00/generated/round_0004/node_0031.png
4,203,40,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e2-s1-r1-norm_only-imitation_only-rr0p00/generated/round_0004/node_0040.png
8,204,147,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e2-s1-r1-norm_only-imitation_only-rr0p00/generated/round_0008/node_0147.png
8,205,37,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e2-s1-r1-norm_only-imitation_only-rr0p00/generated/round_0008/node_0037.png
12,206,33,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e2-s1-r1-norm_only-imitation_only-rr0p00/generated/round_0012/node_0033.png
12,207,110,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e2-s1-r1-norm_only-imitation_only-rr0p00/generated/round_0012/node_0110.png
16,208,185,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e2-s1-r1-norm_only-imitation_only-rr0p00/generated/round_0016/node_0185.png
16,209,100,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e2-s1-r1-norm_only-imitation_only-rr0p00/generated/round_0016/node_0100.png
20,210,116,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e2-s1-r1-norm_only-imitation_only-rr0p00/generated/round_0020/node_0116.png
20,211,161,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e2-s1-r1-norm_only-imitation_only-rr0p00/generated/round_0020/node_0161.png
